carat,color,depth,table,price
1.57,H,62.4,58,12392
0.41,E,62.8,58,827
0.61,E,61.3,54,2823
2.07,I,62.9,59,16392
0.43,D,62.4,60,1022
0.9,D,60.8,56,4241
0.79,H,61.8,59,2275
1.02,H,63.9,55,4558
1.01,D,66.2,56,5122
0.4,F,60.4,59,1050
0.73,I,61.8,57,3239
0.5,F,62.2,54,2025
0.3,G,61.8,60,630
0.71,G,61.5,57,3909
0.23,H,62.3,53,512
0.32,F,61.3,56,828
1.05,E,61.2,58,5433
0.41,F,62.1,56,1076
0.7,G,61.7,56,2310
1.02,D,62.5,59,5998
2.1,I,61.7,55,13182
0.33,E,60.3,57,928
0.61,G,60.1,57,2816
1.34,H,61.2,56,6078
0.38,I,61.7,56,680
1.52,I,61.2,58,3541
0.7,F,62.6,58,2075
1.03,D,61.5,57,8742
0.52,F,61.3,56,2123
0.51,H,61.6,55,1668
0.9,D,63.6,57,3740
0.38,F,62.4,59,998
1.31,I,61.9,59,6438
0.38,I,60.5,58,581
0.55,F,61.1,57,1819
0.57,D,61.4,56,1998
0.43,E,59.3,59,1291
0.7,H,61.1,57,1817
0.31,D,63.7,54,732
1.59,H,61,58,8829
1.73,H,62.7,56,11688
1.06,G,61.8,57,6128
1.02,F,60,60,4207
0.78,F,62.7,56,2444
0.7,G,64.9,57,2479
1.01,G,62.4,58,6108
0.7,G,65.3,61,2710
0.4,H,61.8,57,896
0.4,G,61.4,53,883
1.02,D,60.3,56,6863
1,E,65.3,56,7226
0.7,G,60.8,56,2512
0.73,F,62.1,56,2276
0.39,E,62.5,58,914
1.29,I,62.2,58,6140
0.7,E,60.2,58,2617
1.11,D,59.9,57,5042
0.32,J,61.7,58,540
0.3,G,60.9,56.8,735
1.02,H,61.1,61,4113
0.39,G,61.3,56,752
0.43,F,61,57,1129
0.91,G,64,56.6,4105
0.38,G,60.6,57,695
0.74,G,61.2,56,3635
0.34,E,62.7,56,893
0.43,E,63.1,56,948
0.27,E,62.9,56,470
1.12,I,61.3,58,4077
0.26,F,62.3,56,452
1.01,E,62.6,57,4751
1.52,J,59.9,57,7759
0.77,G,63.2,57,2586
1,G,63.5,59,5860
2.22,I,61.3,56,18531
0.3,E,61.7,53.8,779
1.09,I,61.4,56,6225
1.22,G,61.1,56,10888
0.71,H,62.2,55,2360
1.21,J,62.5,57,5707
0.41,G,61.4,59.2,813
0.5,E,60.1,57,1410
0.37,I,61.4,59,584
0.9,E,58.3,61,4165
1.04,I,67.3,56,2037
0.5,H,60.3,58,1608
1.12,G,61,60,3838
0.51,D,62.4,57,1779
0.71,D,60.2,56,2822
0.3,D,61.7,57,1041
1.04,H,62,58,5285
0.72,E,60.9,60,2822
1.01,H,61.2,61,5294
1.14,G,63.7,58,4501
0.7,H,62.1,56,2422
1.33,F,60.7,62,5288
1.56,I,60.5,58,8858
1,E,62.8,54.2,5728
2.01,H,65.1,56,16733
0.32,E,60.9,58,444
1.67,G,61.5,55,16643
1.51,D,62.1,60,9069
1.1,I,60.5,59,4202
1.01,F,60,56,5274
1.02,E,60,59,6915
0.32,H,62.2,56,936
0.72,E,62.8,52,2333
1.08,G,62.9,59,4627
0.48,F,62.1,55,2154
1,E,57.4,58,6050
1.61,G,62.4,55,11859
0.32,E,61,56,662
0.73,E,62.6,60,2876
0.61,D,62.4,57,2207
1.06,E,62.1,56,4972
0.41,E,60.8,59,1079
1.2,I,57.8,61,5570
0.9,H,62.8,62,3447
0.28,G,61.5,57,650
1,H,63.7,58,3472
0.31,G,62.3,53,778
1.01,H,65.4,59,2846
0.93,E,62.3,60,2624
0.32,D,62.6,55,756
0.54,G,60.6,56,2090
0.31,G,62.8,57,761
1.05,G,63.2,54,4241
0.33,G,62.4,56,666
0.7,F,62,55,2259
0.61,E,61.1,58,2243
1.1,I,60.4,61,4235
0.7,I,68.6,57,1147
1.01,F,63.6,59,4072
2,J,62.4,58,14973
0.3,H,62,56,665
0.31,F,61.9,55,802
0.35,E,61,57,788
0.51,E,62.3,56,1443
0.71,E,59.5,57,2511
0.9,H,62.6,57,3548
1.51,J,62.7,56,8092
0.4,D,62.8,56,1111
0.31,D,61.7,55,565
1.23,I,61.7,58,5521
1.15,H,61.4,58,4418
0.78,E,59.8,57,3385
0.73,I,60.1,56,2451
0.37,E,61.9,56,833
1.53,G,61.7,57,7240
0.4,F,59.7,58,1080
0.7,E,61.7,56,2979
1.01,E,59.2,60,5656
0.7,J,61.2,60,1940
1.11,E,61.7,63,4102
0.31,H,62.4,58,544
0.9,D,64.1,56,3755
0.93,F,59.4,61,3418
2.01,H,63.5,59,16677
0.51,G,63,53,1220
0.26,H,60.5,56,486
0.53,F,62.5,57,1242
1.01,D,61.8,57,4338
0.9,I,60.6,60,3001
1,J,59.2,62,3929
0.24,F,62.1,56,678
0.3,H,62.3,56,491
1.1,E,60.9,60,4622
0.55,I,61.3,56,1367
0.53,E,62,58,2230
0.34,F,62.9,55,880
0.41,D,61.2,57,1018
0.3,H,61,58,526
0.9,F,58.9,67,3992
0.53,H,61.7,60,1152
0.39,D,61.4,56,1197
0.3,H,61.6,57,665
0.52,F,61.6,57,2168
0.33,I,61.4,58,572
1.51,F,62.5,58,14294
0.54,G,61.6,56,1847
0.58,F,60.3,57,2227
0.39,G,63.4,57,956
0.35,H,60.9,57,1028
0.32,D,63.7,56,612
0.56,G,61.2,60,1915
0.41,F,62.6,55,1115
0.55,D,61,56,1768
0.51,D,61.8,55,1882
1.19,H,62,54,7633
0.55,D,60.5,60,1698
1.25,E,60.7,56,11422
1.01,H,62.7,58,5294
1.03,F,60.5,59,5330
1.75,H,61.5,55,7409
0.82,G,60.7,57,3123
1.29,J,63.5,57,3884
0.78,H,61.7,55,3015
0.46,F,60.5,58,1432
0.5,E,60.9,58,1331
1.7,J,59.1,61,7713
0.54,F,62.3,58,1693
1.52,F,59.4,60,13530
1.02,J,61.6,58,3513
0.5,E,62.3,58,1415
0.24,D,59.2,59,478
1.02,D,61.3,62,4044
0.3,F,60.7,56,1131
2.04,I,60.2,59,15543
1.52,D,60.2,58,12502
1.09,G,59.7,63,6453
0.38,D,59.1,58,635
0.41,D,61.1,56,1427
1.14,E,63.1,59,8315
0.4,E,62.2,54,1074
0.97,F,56.4,66,4063
0.56,I,62,56,1698
1.13,G,59.6,57,9872
0.72,E,59.8,57,3270
0.59,F,61.7,56,1652
0.33,F,61.6,56,854
0.32,G,61.5,58,561
0.37,E,61.8,58,833
0.72,D,64,54,2827
0.5,D,61.8,56,1893
1.01,D,63.9,61,5055
0.53,D,61.2,57,1857
2.06,G,62.7,58,17650
0.58,E,57.9,56,2192
1,F,62.3,61,7336
0.35,I,62.5,55,945
0.7,F,61.5,55,3261
0.37,D,61.1,57,823
0.31,G,61.8,59,802
0.33,F,62.3,55,666
1.5,F,60.5,55,15585
0.95,E,58.7,63,3527
0.41,D,62.1,59,1015
1.23,G,60.8,59,5037
1.5,G,60.2,58,13720
1.09,D,61.9,61,3961
0.41,E,60,58,674
0.73,E,57.7,61,2844
1.06,F,61.8,55,3544
0.32,E,61,55,808
1.21,F,59.4,56,6708
0.41,F,61.6,58,1313
0.31,H,61.4,55,609
1.28,J,63.4,59,4878
0.36,G,62.5,58,756
0.57,E,61,56,2297
1.05,G,62.6,62,4516
0.29,G,61.9,55,471
0.93,D,62.5,55,3990
1.64,I,61.3,58,8743
1.01,D,63.6,59,6270
0.23,E,62.1,58,530
0.61,F,59.6,61,2075
0.54,F,61.2,55,2333
0.31,D,60.5,55,683
0.61,G,62.7,58,2544
1.51,F,61.4,58,11817
0.9,F,61.3,56,4724
0.35,F,61.2,56,872
0.56,F,63.3,56,1338
0.31,H,62.4,58,625
0.41,F,62.5,56,1192
0.6,E,61,61,1875
0.35,E,61.9,56,1063
0.76,E,62.8,56,2873
0.58,D,61.1,57,1737
0.39,E,61.3,61,951
0.7,E,62.8,56,2537
0.27,F,60.8,59,591
1.5,H,61,55,9987
1.51,F,62.2,60,13474
1.11,H,62.7,56,5386
1.05,I,61.5,55,5101
1.2,H,60.8,55,7190
1.51,G,58.1,67,10553
1.09,H,63.2,57,4871
0.3,E,62,58,844
0.3,G,63,57,684
0.51,D,60.1,60,1569
0.46,F,61.6,55,859
1.07,E,61.2,56,4799
0.36,E,62.2,59,756
1.13,D,62.3,60,5408
0.53,I,62.3,56,1427
0.54,E,62.2,58,1637
0.6,H,60.8,59,2376
0.3,D,61.3,56,670
0.36,F,61.6,60,600
0.42,I,60.2,57,884
1.01,F,63.2,59,6540
0.57,H,61.3,54,1292
0.94,E,61.8,56,4661
1.03,F,61.1,57,10049
0.32,H,61.8,55,645
0.3,G,63.1,58,1013
1.09,F,62.3,57,5570
1.56,F,57.5,58,9784
0.51,G,62.2,58,1662
0.26,F,61.6,57,769
2.39,H,60.6,58,16687
0.75,E,61.5,56,2652
1.53,J,62.8,59,8205
0.89,I,68.2,65,2334
0.34,E,61.4,55,765
0.53,F,61.9,58,1753
0.31,G,63.3,56,802
0.72,D,60.9,55,3236
1,F,56.5,60,4679
1.01,H,61.8,59,4965
1.02,E,66.6,57,5350
0.31,G,60.6,58,587
0.57,H,63.1,54,1218
1.51,I,63.6,60,7957
1.51,E,63.5,57,10891
1.21,E,63.3,63,3726
0.72,H,62.3,56,2752
1.11,D,60.1,63,4877
0.5,E,62.5,57,1629
0.8,D,61.9,54,3154
0.41,F,63.2,57,863
0.3,H,62.9,57,776
0.33,D,60.1,59,696
1.51,E,63.2,56,9833
0.86,G,62.9,55,3293
1.01,F,62.4,59,5861
1.2,G,60.5,56,5996
0.32,E,60.2,57,960
1.01,G,63.5,60,4271
0.3,D,61.6,57,710
1.09,H,62.3,55,5125
0.63,J,61.4,54,1065
0.3,F,61.5,58,814
0.93,E,62.8,56,4229
1.5,F,58.8,58,17203
1.01,E,60.4,60,8403
1.5,G,62.5,55,12787
0.32,F,62.1,56,741
0.79,G,63.4,60,1809
0.63,G,59.9,57,2241
0.54,H,61.8,56,1709
0.57,D,61.6,56,3126
1.01,D,65.3,55,4205
0.55,E,62,56,1273
0.29,G,58.1,59,660
0.84,G,61.8,57,3596
1.31,G,62.2,56,7358
0.42,G,59.5,61,573
0.35,H,62.5,57,706
0.5,D,61.9,55,1937
0.83,F,63.3,56,3603
1,H,60.9,61,5254
1.16,G,62.3,55,9901
0.78,H,62.1,56,3581
0.41,H,62,56,827
1.51,G,62.7,57,7145
0.24,E,60.6,59,668
0.55,E,61.5,57,1665
0.7,E,62,59,2263
1.5,I,60.5,56,9533
0.46,D,62.2,56,1778
1.01,G,63.1,60,6108
1.36,F,61.6,56,12608
0.3,E,61.8,55,844
0.3,D,62.2,56,651
0.57,E,61.4,58,1608
1.42,F,63.7,57,9542
0.3,D,62.5,59,520
0.59,F,61.7,60,1412
0.5,E,61.4,55,1614
1,G,62.4,59,6377
0.3,E,61.7,55,844
0.84,G,62,56,3535
0.63,F,59.2,57,2149
0.71,G,61.4,57,2386
1.57,D,62.9,61,9875
0.52,E,61.4,54,1694
1.09,J,61.4,55,4565
1.02,F,62,59,4238
0.31,I,61.6,57,452
0.76,E,60.1,59,3192
0.31,G,62.7,57,907
0.33,D,62.4,56,631
0.7,I,62.1,54.6,2240
0.3,D,63.4,56,552
0.57,G,61,57,1819
0.64,G,60.4,62,2060
1.02,G,61.3,56,5291
1.22,I,61.1,58,6121
0.32,G,63.3,54,561
0.31,G,62.1,59,1046
0.52,I,62.3,54,1152
0.7,G,61.9,58,2310
0.6,D,62.2,56,1896
0.51,E,61.8,54.7,1970
1.05,F,62.8,55,4363
0.72,G,61.5,55,2952
0.8,F,63.2,55,3429
1.11,J,61.7,57,4092
0.97,G,57.2,60,1547
0.35,H,62.4,58,504
0.36,D,60.3,58,727
0.75,E,61.6,57,2940
0.9,I,62.8,61,3246
0.74,F,62.2,54,2583
1.7,G,62.9,57,13605
0.32,G,60.7,58,720
0.3,G,61.5,56,776
0.81,E,61,56,3015
1.02,H,62.1,59,5469
2.01,I,56.9,59,11312
1.01,G,63.6,58,4195
0.78,E,61.5,60,3898
0.55,E,62.2,55,1975
1.01,I,62.5,57,4336
0.94,E,60,58,4661
1.09,G,59.5,61,8454
1.51,H,60.9,56,4404
1,G,61.8,59,4368
0.7,G,61.6,55,3145
1.21,F,61.8,57,5996
0.51,F,62.8,57,1619
0.32,E,62.2,55,702
0.51,D,61.8,54,1623
1.5,J,59.6,60,7503
0.23,E,58,60,465
0.41,E,62.2,58,954
0.76,E,60.6,59,3767
0.3,H,60.2,62,410
1.26,J,62.5,53,4742
0.32,H,62.6,55,591
0.34,G,61.7,56,863
0.32,G,61.9,58,842
0.76,E,60.4,58,2789
0.43,E,61.9,57,919
0.53,F,60.9,57,2830
0.56,H,61.7,54,1427
0.34,H,61.4,55,440
0.32,E,60.8,59,814
0.5,G,61.2,63.3,1690
0.76,G,59,70,2800
0.73,F,59.9,58,2933
0.31,E,61.6,55,871
0.7,I,61.4,57,2405
0.55,E,60.6,56,2499
0.63,H,61.7,55,1196
0.51,G,62.9,57,1750
1.04,E,61.6,59,4240
0.29,H,60.7,60,404
1.51,F,61.9,59,14334
0.33,G,62.4,56,854
0.31,G,62.1,54,511
0.73,J,62.7,57,2101
0.53,G,62.7,55,1308
0.37,D,61.4,58,1069
0.33,D,60.9,56,736
1.01,J,62.8,59,3906
1.59,D,59.9,59,10685
0.74,F,62.3,57,3170
1.07,E,62.4,57,4698
0.58,G,61.1,55,1641
1.12,G,62.5,56,8592
0.32,E,61.2,58,524
0.5,G,63.2,57,1410
0.53,E,60.9,57,1769
2.02,I,61.2,60,11059
1.25,G,61.4,59,6399
0.36,G,62.3,54,505
0.3,H,63.4,55,878
0.42,D,60.7,61,617
1.08,H,63.1,57,6623
0.7,E,59.8,62,2973
0.3,G,62.9,58,605
1,E,60,60,6600
1.01,I,62.5,59,5022
1,F,63.2,54,4088
0.35,E,62.1,57,1195
0.32,E,61.6,58,1095
0.7,E,64.2,60,2394
1.5,F,60.9,60,13853
0.41,H,61.3,54,839
0.34,H,62.3,55,765
0.42,D,61.6,56,1621
0.71,D,62.9,56,3465
0.34,H,63.3,56,490
0.51,G,60.2,56,1632
0.26,H,62.5,54,508
1.51,I,62.3,60,9467
1,G,60.8,58,4816
0.3,F,62.6,61,394
0.7,I,57.1,61,2010
0.42,F,59.8,57,985
0.36,G,61.6,56,726
0.72,F,62,56,2879
0.33,I,63.2,58,572
0.58,F,59.9,58,1401
2.3,G,61.4,57,14744
1.21,H,60.5,60,6722
0.32,E,60.5,55,702
0.9,E,59.4,59,5438
0.31,G,61.7,57,698
0.33,F,61.8,57,1021
0.3,G,62.8,58,776
0.31,F,61.4,56,1168
1.23,J,62.7,58,4856
0.71,J,60.9,55,1986
0.73,H,62.7,55,2793
0.51,E,61.8,58,1640
1.01,F,62.5,60,7079
0.57,F,62,54,1637
0.31,G,61.8,60,462
0.31,G,59.8,60,544
0.3,H,63.7,55,776
0.76,D,62.2,57,2682
0.5,F,62.9,57,1020
0.7,F,61.2,56,2161
1.72,F,63.2,61,13499
0.9,E,62,55,6466
0.9,H,60,56,4255
0.31,D,63.6,54,593
1.34,H,62.4,54,7659
1.15,J,61.5,55,5152
0.31,H,62.2,57,698
0.38,E,61.1,56,1433
1.02,H,57.1,61,4093
1.05,I,63.2,56,4895
0.7,E,61.8,59,2845
0.31,F,60.8,57,749
0.91,E,62.3,58,5055
0.54,H,61.6,56,1639
0.3,G,63.5,58,725
1.01,F,61.2,59,7982
1.31,H,61.5,55,8429
1,F,62.1,59,5152
0.46,E,61.7,59,1372
0.31,G,61.4,59,924
0.31,G,63.5,57,1046
0.52,E,62.8,56,1389
0.53,D,62,55,1753
0.4,E,62.2,54,673
0.72,J,63,58,1989
0.37,D,61.1,54,763
2.01,J,60.8,57.2,13133
1.21,E,61.7,58,8902
1.01,I,61.5,62,3299
0.7,G,61.7,57,2010
1.79,G,60.5,58,14127
1.2,G,59.4,61,10169
1.09,H,61.7,59,4849
0.43,H,61.9,55,792
1.5,G,63.1,57,9384
0.4,G,61.1,56,1257
0.25,I,62,57,450
1.29,I,62.2,57,6279
0.37,D,63.7,55,874
0.75,D,59.2,58,3024
0.43,E,61.9,56,1433
0.23,G,62.6,54,431
1.32,I,61.7,56,5544
1,E,63.5,55,8910
1.56,I,58.2,59,10523
1.2,G,62.3,56,8596
0.7,G,62.9,59,2212
1.22,H,61.5,64,4782
0.32,F,61.6,57,716
0.9,F,64.7,54,3931
2.01,E,60.6,59,17118
1.56,I,61.8,56,10333
0.52,G,61.6,55,2063
0.9,F,62.6,56,3368
0.54,D,61.2,57,3494
0.28,E,60.8,55,787
0.35,E,62,55,984
0.96,G,66.8,61,2539
0.32,D,62.7,57,758
1.2,F,61.1,59,8436
0.34,D,60.8,57,730
1.03,G,62.4,57,8454
1.51,D,66,57,15152
0.3,F,62.1,55,868
0.54,D,62.1,58,1662
0.28,H,61.2,55,514
0.3,D,61.4,55,552
1.57,G,61.1,61,8572
0.9,G,61.6,57,3931
1,E,63.1,64,4435
1.53,J,64.7,58,6659
0.51,G,62,59,1053
0.32,G,62,59,720
0.41,F,61.8,56,863
0.5,F,60.9,58,1436
1.42,J,61.7,56,7942
0.83,E,61.3,59,3625
1.01,E,63.4,57,8797
1.51,I,62.6,59,7162
0.51,F,59.4,60,1308
1.73,H,61.8,57,12931
0.31,I,63.9,56,489
0.31,I,62.3,60,435
1.34,E,58.2,60,8480
0.57,H,61.6,57,1655
0.7,F,61.8,54,2671
0.41,I,63.5,58,845
0.3,G,62.8,57,776
0.63,E,61.8,60,2064
0.33,H,61.9,58,743
1.44,G,63.6,58,9677
0.59,E,61.6,55,1994
1.01,F,60.7,57,7792
1.01,G,62.5,60,4588
0.71,I,59.3,59,2300
1.1,I,62.6,59,4192
0.3,D,61.9,58,911
1.22,G,61.5,56,12081
0.33,E,61.1,56,723
0.9,E,61.7,56,6230
1.2,D,60.2,60,4203
0.91,I,64.2,59,2700
1.32,G,60.6,57,9979
1.23,J,62.9,58,5217
0.72,H,61.6,59,2642
1.51,I,63,59,9343
0.56,F,63.2,61,1712
0.32,D,62,57,972
0.92,H,62.3,63,4116
0.51,G,62.1,58,1662
0.7,H,65.3,55,1865
0.24,E,60.7,58,553
0.57,E,61.8,55,2192
1,G,63,58,6048
0.91,F,58,57,4067
0.74,E,62.8,61,2906
1.51,E,58.4,70,11102
0.53,E,62.3,55,2280
0.7,I,58.2,61,2028
0.44,D,60.4,56,1081
0.9,F,62.7,56,4678
0.23,G,61.5,56,484
0.58,E,61.7,57,1683
0.31,F,62.3,54,914
0.71,G,63.3,56,2494
1.52,I,59.9,60,9290
1.01,E,62.4,58,5229
0.42,D,61.9,56,810
0.55,F,62.1,55,1871
1.07,D,61.8,55,5872
0.7,F,59.6,61,2039
0.71,E,62.7,56,2743
1.51,D,63.2,59,7915
0.3,D,60.9,58,574
0.51,D,62.7,59,1574
0.23,E,62.6,57,543
2.03,I,62.3,60,16392
0.9,D,64.5,61,3689
0.52,G,61.4,55.3,1957
0.81,I,61.7,59,2386
0.71,F,62.1,54,2365
0.32,G,61.8,56,786
1.04,E,63,55,7751
1.5,D,62.4,61,8517
0.3,G,60.8,61,675
0.41,D,62.2,57,1015
0.43,H,61.5,58,919
0.4,E,60.8,57,1278
1.01,E,65.4,56,6004
0.52,H,63.6,62,1073
0.73,G,61.8,54,2839
0.66,G,58.1,59.9,2101
0.33,H,63,56,594
1.33,H,62.6,57,7850
1.02,D,59.8,61,6909
0.7,H,57,58,1981
0.73,J,62.8,55,2054
1.02,D,62.7,57,15306
0.7,E,59.1,62,2592
0.7,E,60.5,58,2777
1.01,J,62.8,57,3998
1.51,I,63.1,53,9513
0.98,G,62.2,57,4542
0.26,E,61.7,61,564
1.12,I,60.3,57,6143
1.29,F,63.4,57,4977
1.01,G,61.5,58,3461
1.21,F,61.3,56,9397
0.7,G,65.2,57,2290
1.08,H,60.4,57,4536
1.26,D,61.6,56,5412
1.5,G,62,57,8736
1.01,H,61.1,58,5416
0.58,E,61.5,58,1424
0.72,J,63.2,60,1814
0.77,D,63.1,57,3489
0.3,D,62,55,863
1,J,58.7,58,3920
1.21,H,62.1,55,5692
0.75,G,60.9,58,2631
0.33,E,62.6,58,852
0.5,F,59.6,61,1125
0.21,E,61.9,56,394
0.3,G,63.5,56,878
0.71,G,64.5,57,2382
0.48,G,57.8,60.9,1262
1.02,H,63.1,59,4284
1.16,I,61.5,57,5002
0.66,G,59,62,2055
1.07,E,60.4,63,4314
1.76,I,61.2,55,9714
0.72,J,62.7,56,1666
0.7,I,62.1,57,2398
2.02,I,64.3,56,13286
0.41,F,62.3,57,1356
0.58,D,65.1,58,1156
1.01,G,61.3,59,5006
0.26,F,64,57,524
1.03,F,62.4,58,6307
0.42,G,60.6,58,921
0.59,H,61.9,55,1292
0.41,F,62.6,54,612
1.5,J,63.3,57,8736
1,E,60.5,59,5396
1,H,62.1,58,5247
0.31,F,62.3,55,802
1.01,G,62.9,57,3750
0.55,E,58.4,61,1134
0.79,I,63.3,57,2095
1.01,D,60.1,60,4690
0.73,F,61.7,58,2527
0.51,F,62.7,56,1100
1,H,62.1,56,4788
0.44,D,62.8,58,850
0.73,E,61.2,57,3620
1.12,E,61,59,3942
1.04,F,61.4,57,7015
1.04,I,62,57,3774
1.02,E,60.2,60,10641
1.01,H,62.8,58,3869
0.54,D,60.7,57,2113
1.55,I,61.8,55,11574
1,G,63.4,61,5600
1.58,G,60,53,9037
0.7,F,61.2,56,4114
1.35,J,62.1,56,5759
0.71,D,61,56,3838
1.04,E,61,57,9901
0.31,D,59.4,57,879
0.33,E,60.8,57,723
1.01,E,63.3,57,4270
1.14,F,63.3,56,8912
0.55,E,61.5,56,1881
0.37,E,58.9,61,1041
0.6,D,62.8,61,2106
1.52,H,63.8,60,9898
0.31,D,61.2,59,805
1.27,G,61,58,10389
1.54,H,61,60,10977
1.52,H,61.8,54,11379
0.57,I,61.8,57,1173
0.33,E,62.1,56,928
0.77,G,62.2,56,3148
1.51,E,61.5,57,18729
1.06,I,62.7,58,4591
1.01,F,61,57,5174
0.3,E,60.7,63,612
2.03,H,64.4,59,6002
0.85,G,57.7,67,2998
0.32,H,62.5,59,648
0.5,E,58,67,851
0.56,E,62.7,56,1608
0.8,F,60.1,60,3293
0.34,F,59.8,58,566
0.41,G,60.9,58,1061
0.52,F,61.2,56,1625
0.31,I,62.4,53,507
0.31,E,61.9,54,767
1.07,E,61.7,57,10288
1.01,G,61.5,56,4129
1.52,H,62,58,7764
0.32,D,63.4,56,477
0.9,H,60.4,59,4321
0.32,D,60.1,60,619
0.42,F,60.9,55,992
1.5,D,64.7,62,5460
0.3,H,63,59,473
0.52,G,61.7,56,2012
1.21,G,64.5,56,4637
0.32,G,62.1,56,828
0.34,E,61.6,55,790
0.57,G,62.6,55,1608
0.5,F,69.8,55,584
0.35,I,61.3,54,606
0.9,G,62.9,58,3774
0.5,G,63.8,56,1806
1.57,I,62.8,57,7385
0.35,E,61.9,61,919
0.71,F,61.1,62,2317
0.28,G,62,56,427
0.39,G,62.7,54,746
0.37,F,59.2,57,1406
1.2,F,62.2,62,5247
0.74,E,61,57,2574
0.32,G,61.2,56,645
0.32,I,61.1,57,576
0.31,E,60.5,57,942
1.27,J,66,59,4542
0.9,H,61.8,56,4082
0.39,G,60.3,59,790
1.24,E,60.5,62,4666
0.41,D,62.6,57,841
1.21,H,62.9,55,7426
0.31,E,60.9,60,435
0.32,I,62.1,57,605
0.7,E,62.1,56,2475
1.08,F,63.1,59,3590
1.01,H,63.1,62,4208
0.31,G,62.6,53,891
1.06,G,61.9,60,4571
0.3,H,62.2,60,675
0.36,I,60.3,60,729
0.25,F,62.1,57,595
1,E,60.4,61,4916
2.01,J,60.4,59,13619
0.23,E,61.3,57,505
1.53,J,61.6,59,9555
0.75,E,59.7,62,2497
0.44,H,61.3,58,1040
0.33,I,61.8,55,891
0.32,E,62.7,55,449
0.3,H,60.7,57,473
1,F,62.5,57,4504
0.41,G,62.6,54,923
0.3,H,61.6,62,421
1.05,F,62.8,57,6808
0.53,G,62.4,54,1659
0.4,E,62.2,56,694
0.7,H,63.7,59,2335
1.05,G,59.1,57,4429
0.74,J,60.6,62.6,1912
2.01,I,63.6,57,16003
0.76,G,61.6,56,3372
0.8,E,63.2,54,3831
0.33,F,61.2,58,666
0.76,G,61.2,57,3212
0.3,F,62.1,55,886
0.32,H,61.7,56,534
1.5,I,69.7,56,4704
1.7,G,59,58,15797
1.02,G,61,59,4718
0.39,G,62.6,58,855
0.3,G,60.3,57,631
1.72,E,62.2,55,7802
0.43,G,61.9,53,1318
1.2,D,60.7,58,7191
0.58,H,62.5,58,1402
1.53,H,60.4,60,12092
1.03,H,62.6,56,5364
0.38,G,62.4,57,666
1.4,F,66.5,56,8216
0.2,E,59.7,62,367
0.7,E,63.5,54,2310
2.01,H,63.4,60,11780
0.4,F,62,56,1049
0.31,G,61.3,57,891
1.5,F,62.4,57,13333
1.28,G,60.8,57,11372
1.26,H,61,56,6715
0.54,E,61,59,2313
0.27,E,63.1,57,470
